Model,Tier,Params,Attack,Defense,N,Clean Accuracy (%),ASR (%),Avg Latency (ms),Std Latency (ms),Peak GPU (MB),Model Size (MB)
qwen-7b-q4,Tier 2 (Jetson Nano / Orin),7B,No Attack (Clean),No Defense (Baseline),20,85.0,—,13045.2,1479.7,5855.4,5443.3
qwen-7b-q4,Tier 2 (Jetson Nano / Orin),7B,Direct Prompt Injection,No Defense (Baseline),20,—,35.0,12920.9,968.3,5862.5,5443.3
qwen-7b-q4,Tier 2 (Jetson Nano / Orin),7B,Direct Prompt Injection,Self-Reminder,20,—,10.0,11709.6,2073.9,5881.4,5443.3
qwen-7b-q4,Tier 2 (Jetson Nano / Orin),7B,Direct Prompt Injection,Spotlighting,20,—,0.0,11869.0,1977.1,5868.6,5443.3
qwen-7b-q4,Tier 2 (Jetson Nano / Orin),7B,Indirect Prompt Injection,No Defense (Baseline),20,—,35.0,11386.0,582.3,5868.7,5443.3
qwen-7b-q4,Tier 2 (Jetson Nano / Orin),7B,Indirect Prompt Injection,Self-Reminder,20,—,30.0,11737.8,256.0,5885.5,5443.3
qwen-7b-q4,Tier 2 (Jetson Nano / Orin),7B,Indirect Prompt Injection,Spotlighting,20,—,0.0,11392.3,272.8,5868.6,5443.3
qwen-7b-q4,Tier 2 (Jetson Nano / Orin),7B,Jailbreak (DAN-style),No Defense (Baseline),20,—,35.0,10913.0,3109.3,5864.0,5443.3
qwen-7b-q4,Tier 2 (Jetson Nano / Orin),7B,Jailbreak (DAN-style),Self-Reminder,20,—,0.0,11644.7,1335.4,5883.3,5443.3
qwen-7b-q4,Tier 2 (Jetson Nano / Orin),7B,Jailbreak (DAN-style),Spotlighting,20,—,0.0,11998.5,345.6,5868.6,5443.3
